clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,periodo_act,anio_ingreso_periodo,promedio,promedioxperiodo,promedio_pred,alumnoEnRiesgoBajoRendimiento
4531,4,1,107,SAN MIGUEL,25006.0,Culiacan,1,verano,2006,70.0,82.37,80.12468,Sin riesgo
4547,5,1,112,EJIDAL,25015.0,Guamuchil,1,ago-dic,2005,55.166666666666664,74.37607186147187,72.712975,Sin riesgo
4547,5,1,112,EJIDAL,25015.0,Guamuchil,1,ene-jun,2006,65.8,69.12450952380954,65.104744,En riesgo
4547,5,1,112,EJIDAL,25015.0,Guamuchil,1,verano,2009,85.0,79.72583333333333,88.55195,Sin riesgo
4553,5,2,118,AMADO NERVO,25006.0,Culiacan,1,ago-dic,2005,68.5,73.41675238095237,70.873856,Sin riesgo
4553,5,2,118,AMADO NERVO,25006.0,Culiacan,1,ene-jun,2006,52.6,45.618363528138524,53.22278,En riesgo
4553,5,2,118,AMADO NERVO,25006.0,Culiacan,1,verano,2008,90.0,84.28004999999997,87.138466,Sin riesgo
4559,5,2,68,,25002.0,Angostura,1,ago-dic,2005,89.16666666666667,79.9945,68.922035,Sin riesgo
4559,5,2,68,,25002.0,Angostura,1,ene-jun,2006,85.83333333333333,73.56380952380952,61.900616,Sin riesgo
4559,5,2,68,,25002.0,Angostura,1,verano,2010,90.0,90.58,81.65708,Sin riesgo
4566,5,1,10,TAMAZULA,25011.0,Guasave,1,ago-dic,2005,52.333333333333336,57.623573129251696,67.62125,En riesgo
4566,5,1,10,TAMAZULA,25011.0,Guasave,1,ene-jun,2006,60.8,66.1361238095238,60.22145,En riesgo
4566,5,1,10,TAMAZULA,25011.0,Guasave,1,verano,2009,72.0,75.58,78.96063,Sin riesgo
4567,5,1,60,CAMPANARIO,25006.0,Culiacan,1,ago-dic,2005,73.33333333333333,70.87982378547376,67.20984,Sin riesgo
4567,5,1,60,CAMPANARIO,25006.0,Culiacan,1,ene-jun,2006,65.8,56.24533227513228,59.175148,En riesgo
4567,5,1,60,CAMPANARIO,25006.0,Culiacan,1,verano,2008,95.0,84.26952380952382,79.6,Sin riesgo
4579,5,1,23,AZUCARERA,25006.0,Culiacan,1,ago-dic,2005,65.66666666666667,72.94981365486366,66.96499,Sin riesgo
4579,5,1,23,AZUCARERA,25006.0,Culiacan,1,ene-jun,2006,37.166666666666664,50.22675317460315,57.24259,En riesgo
4579,5,1,23,AZUCARERA,25006.0,Culiacan,1,verano,2009,75.5,73.74783333333335,79.23806,Sin riesgo
4592,5,2,130,INFONAVIT JOBORI,25008.0,La Cruz,1,ago-dic,2005,72.5,80.33988783068781,74.05256,Sin riesgo
4592,5,2,130,INFONAVIT JOBORI,25008.0,La Cruz,1,ene-jun,2006,68.8,69.0387671957672,67.38429,En riesgo
4592,5,2,130,INFONAVIT JOBORI,25008.0,La Cruz,1,verano,2009,95.0,92.83777777777777,86.795654,Sin riesgo
4601,5,2,117,LOS ANGELES,25006.0,Culiacan,1,ago-dic,2005,67.33333333333333,74.79282645502649,67.42778,Sin riesgo
4601,5,2,117,LOS ANGELES,25006.0,Culiacan,1,ene-jun,2006,67.0,61.09698412698413,60.66176,En riesgo
4601,5,2,117,LOS ANGELES,25006.0,Culiacan,1,verano,2007,73.5,77.18973333333334,78.52362,Sin riesgo
4614,6,1,153,RANCHO CONTENTO,25006.0,Culiacan,1,ago-dic,2005,84.71428571428571,61.98809181453466,65.6595,En riesgo
4614,6,1,153,RANCHO CONTENTO,25006.0,Culiacan,1,ene-jun,2006,83.83333333333333,65.8096865079365,61.380093,En riesgo
4615,6,1,30,LOMA LINDA,25006.0,Culiacan,1,ago-dic,2005,64.57142857142857,61.97737281091925,64.102425,En riesgo
4615,6,1,30,LOMA LINDA,25006.0,Culiacan,1,ene-jun,2006,68.16666666666667,42.524251587301585,56.408867,En riesgo
4615,6,1,30,LOMA LINDA,25006.0,Culiacan,1,verano,2006,75.0,50.848,60.78508,En riesgo
4617,6,1,107,EL WALAMO,25006.0,Culiacan,1,ago-dic,2005,58.285714285714285,64.84917777777778,66.64085,En riesgo
4617,6,1,107,EL WALAMO,25006.0,Culiacan,1,ene-jun,2006,82.25,51.90958994708996,58.99945,En riesgo
4617,6,1,107,EL WALAMO,25006.0,Culiacan,1,verano,2008,91.0,89.0564523809524,82.34608,Sin riesgo
4621,6,1,128,EL CID,25006.0,Culiacan,1,ago-dic,2005,92.28571428571429,82.18960681646395,79.32942,Sin riesgo
4621,6,1,128,EL CID,25006.0,Culiacan,1,ene-jun,2006,89.16666666666667,80.37576666666668,77.93909,Sin riesgo
4621,6,1,128,EL CID,25006.0,Culiacan,1,verano,2007,97.0,93.05533333333332,90.257164,Sin riesgo
4624,6,1,63,MONTSERRAT,25018.0,Navolato,1,ago-dic,2005,43.714285714285715,60.37760175736961,66.32814,En riesgo
4624,6,1,63,MONTSERRAT,25018.0,Navolato,1,ene-jun,2006,84.25,85.08721322751322,66.60957,Sin riesgo
4624,6,1,63,MONTSERRAT,25018.0,Navolato,1,verano,2008,100.0,84.71,78.25545,Sin riesgo
4640,6,1,70,BUENOS AIRES,25006.0,Culiacan,1,ago-dic,2005,88.0,74.8438867965368,67.54384,Sin riesgo
4640,6,1,70,BUENOS AIRES,25006.0,Culiacan,1,ene-jun,2006,94.16666666666667,59.19405317460315,61.893597,En riesgo
4649,6,1,26,BUENA VISTA,25006.0,Culiacan,1,ago-dic,2005,79.71428571428571,70.66792146636432,68.66525,Sin riesgo
4649,6,1,26,BUENA VISTA,25006.0,Culiacan,1,ene-jun,2006,74.66666666666667,62.089416553287975,61.492676,En riesgo
