clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,escuela,promedioxperiodo,promedio_pred
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,39.0,UAS (ANGOSTURA),59.87672222222221,59.578827
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,verano,2007,42.5,UAS (ANGOSTURA),59.36066666666667,67.218254
6247,4,1,143,ALHUEY,25002.0,Angostura,1,INGENIERIA ELECTRONICA,Electronica,verano,2009,82.0,UAS (ANGOSTURA),59.36066666666667,67.218254
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,68.33333333333333,Uas (guasave Diurna),78.53254629629629,73.801025
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,83.6,Uas (guasave Diurna),78.53254629629629,73.801025
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,80.25,Uas (guasave Diurna),78.53254629629629,73.801025
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,79.66666666666667,Uas (guasave Diurna),78.53254629629629,73.801025
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,79.6,Uas (guasave Diurna),78.53254629629629,73.801025
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,81.66666666666667,Uas (guasave Diurna),77.1123507936508,72.01973
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,49.6,Uas (guasave Diurna),77.1123507936508,72.01973
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,89.8,Uas (guasave Diurna),77.1123507936508,72.01973
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2009,53.166666666666664,Uas (guasave Diurna),77.1123507936508,72.01973
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2010,85.0,Uas (guasave Diurna),77.1123507936508,72.01973
6249,4,1,145,PORTEZZA,25011.0,Guasave,1,INGENIERIA ELECTRONICA,Electronica,verano,2010,70.0,Uas (guasave Diurna),75.1,75.10502
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2006,83.4,COBAES 7(GRAÑ. PABLO MACIAS V),81.68486071428569,73.721344
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2007,81.8,COBAES 7(GRAÑ. PABLO MACIAS V),81.68486071428569,73.721344
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2008,74.5,COBAES 7(GRAÑ. PABLO MACIAS V),81.68486071428569,73.721344
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2009,89.75,COBAES 7(GRAÑ. PABLO MACIAS V),81.68486071428569,73.721344
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ago-dic,2010,78.6,COBAES 7(GRAÑ. PABLO MACIAS V),81.68486071428569,73.721344
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2006,86.83333333333333,COBAES 7(GRAÑ. PABLO MACIAS V),61.663869312169325,67.677444
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2007,66.83333333333333,COBAES 7(GRAÑ. PABLO MACIAS V),61.663869312169325,67.677444
6324,4,1,7,CENTRO,25010.0,El Fuerte,1,INGENIERIA ELECTRONICA,Electronica,ene-jun,2008,40.166666666666664,COBAES 7(GRAÑ. PABLO MACIAS V),61.663869312169325,67.677444
