clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,clave,nombre,corto,ultimo_digito,periodo,anio_ingreso,periodo_act,anio_ingreso_periodo,promedio,promedio_pred
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2007,29.2,49.982334
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2008,42.833333333333336,49.221073
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2009,76.5,53.688995
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2010,77.4,57.217644
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2007,80.0,62.58256
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2009,73.0,76.21698
4480,4,1,117,21 DE MARZO,25006.0,Culiacan,2053.0,,1,117,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,verano,2010,82.5,78.991425
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2005,73.33333333333333,65.845795
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2006,61.4,65.15686
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2007,28.2,55.35303
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2009,56.25,66.9895
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ago-dic,2010,83.0,71.867966
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2006,43.666666666666664,61.85325
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2007,63.75,54.022182
4502,4,1,153,4 DE MARZO,25006.0,Culiacan,2053.0,,1,153,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2005,ene-jun,2008,23.333333333333332,52.95983
