clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,causa_salida,clave,nombre,corto,periodo_act,anio_ingreso_periodo,promedio,promedio_pred,promedioxperiodo,alumnoEnRiesgoBajoRendimiento
3526,0,1,17,LOS ANGELES,25006.0,Culiacan,1,17,INGENIERIA INDUSTRIAL,Industrial,verano,2010,98.0,82.38089,66.29063492063494,En riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2005,85.8,71.4662,71.48593544973546,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2006,85.0,70.2001,71.48593544973546,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2006,68.5,68.875404,74.80023214285714,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2007,68.28571428571429,61.74118,71.48593544973546,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2007,70.125,62.355675,74.80023214285714,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2008,69.16666666666667,62.390766,71.48593544973546,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2008,71.57142857142857,61.984703,74.80023214285714,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2009,67.85714285714286,65.78382,74.80023214285714,Sin riesgo
3534,0,1,29,ALFONSO G. CALDERON,25018.0,Navolato,1,29,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2010,45.0,67.618484,71.48593544973546,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2005,86.4,73.36441,68.18062131519275,En riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,verano,2005,78.0,78.66234,70.92514285714286,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2006,52.5,71.64384,68.18062131519275,En riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2006,77.0,70.31914,72.79354761904762,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2007,75.0,62.83046,68.18062131519275,En riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2007,81.0,63.7994,72.79354761904762,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,verano,2007,70.0,70.48914,70.92514285714286,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2008,65.71428571428571,63.480045,68.18062131519275,En riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2008,64.71428571428571,63.428444,72.79354761904762,Sin riesgo
3545,0,1,112,INSURGENTES,25015.0,Guamuchil,1,112,INGENIERIA INDUSTRIAL,Industrial,ene-jun,2009,60.0,66.77341,72.79354761904762,Sin riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2005,71.2,70.42898,74.45819642857143,Sin riesgo
3559,0,1,71,LAS GRANJAS,25006.0,Culiacan,1,71,INGENIERIA INDUSTRIAL,Industrial,ago-dic,2006,62.25,68.86254,74.45819642857143,Sin riesgo
