clave_alumno,clave_carrera,sexo,prepa,colonia,municipio,ciudad,ingreso,termino,causa_salida,nombre,corto,ultimo_digito,periodo,anio_ingreso,riesgo_bajo_rendimiento,riesgo_predicho
10110,4,1,26,REVOLUCION,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10112,4,1,107,SAN LUIS II,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10113,4,1,124,INFONAVIT BARRANCOS,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10114,4,1,62,STANZA SOLARE,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10115,4,1,112,INSURGENTES,25015.0,Guamuchil,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10117,4,1,107,COUNTRY,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10118,4,1,60,EL TORO,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10119,4,2,153,INFONAVIT JOBORI,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10121,4,1,129,CENTRO,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10122,4,1,107,LOS ANGELES,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10123,4,1,107,SAN RAFAEL,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10124,4,1,79,FRACC. NAKAYAMA,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10126,4,1,117,INFONAVIT JOBORI,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10127,4,1,28,,25018.0,Navolato,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10128,4,1,107,LOS ANGELES,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10130,4,1,112,CAMPESTRE,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10132,4,1,107,PLUTARCO ELIAS CALLES,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10137,4,1,117,TOLEDO,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10139,4,1,107,LIBERTAD,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10141,4,1,536,VILLAS,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10142,4,1,153,CHULAVISTA,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10145,4,1,18,CENTRO,25003.0,Badiraguato,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10146,4,1,118,VILLA DEL REAL,25006.0,Culiacan,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10147,4,1,156,COFRADIA,25018.0,Navolato,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
10148,4,1,112,MILITAR,25015.0,Guamuchil,2093.0,,1,INGENIERIA ELECTRONICA,Electronica,3.0,ago-dic,2009,0,0
